18:35:20.707131 config: drop-rate=0.20, max-delay=10ms, seed=1
10:34:42.749977 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:34:46.764042 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:34:50.765926 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is dropped
10:34:54.774035 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 2ms
10:34:54.789137 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:34:58.780835 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 7ms
10:34:58.796500 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:35:02.788078 [queue=1] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delayed for 4.7ms
10:35:02.803285 [queue=0] packet #2, 127.0.0.1:49183 -> 127.0.0.1:8007, sz=90 is delivered
10:35:17.073952 [queue=1] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delayed for 6.5ms
10:35:17.092290 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delivered
10:35:21.215092 [queue=1] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delayed for 2.9ms
10:35:21.231107 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delivered
10:35:25.226923 [queue=1] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delayed for 4.8ms
10:35:25.242638 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delivered
10:35:29.232548 [queue=1] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delayed for 9.5ms
10:35:29.248161 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delivered
10:35:33.236644 [queue=1] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delayed for 0s
10:35:33.236644 [queue=0] packet #1, 127.0.0.1:59778 -> 127.0.0.1:8007, sz=23 is delivered
